Order_Id,Quantity,Item_Name,Item_Price,Choice_Description_1,Choice_Description_2,Choice_Description_3,Choice_Description_4,Choice_Description_5,Choice_Description_6,Choice_Description_7,Choice_Description_8,Choice_Description_9,Choice_Description_10,Item_price,Encoded_Item
17,1,Carnitas Bowl,10.83,TomatilloRed Chili Salsa Hot, Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce,,,,10.83,11
17,1,Bottled Water,1.84,None,,,,,,,,,,1.84,6
18,1,Chicken Soft Tacos,9.66,Roasted Chili Corn Salsa, Rice,,,,,,,,,9.66,22
18,1,Chicken Soft Tacos,9.66,Roasted Chili Corn Salsa, Cheese, Lettuce,,,,,,,,9.66,22
18,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
18,1,Chips and Tomatillo Green Chili Salsa,3.09,None,,,,,,,,,,3.09,29
19,1,Barbacoa Bowl,10.22,Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce,,,10.22,1
19,1,Chips,2.35,None,,,,,,,,,,2.35,23
20,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
20,1,Chicken Bowl,10.13,Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce,,,,10.13,17
20,1,Steak Burrito,10.46,Fresh Tomato Salsa, Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce,,,,10.46,39
20,1,Chicken Salad Bowl,11.17,Fresh Tomato Salsa, Fajita Vegetables, Pinto Beans, Lettuce,,,,,,,11.17,21
21,1,Chicken Burrito,10.1,TomatilloRed Chili Salsa Hot, Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce,,,,10.1,18
21,1,Steak Burrito,10.46,TomatilloRed Chili Salsa Hot, Rice, Fajita Veggies, Cheese,,,,,,,10.46,39
21,1,Izze,3.39,Blackberry,,,,,,,,,,3.39,34
22,1,Steak Burrito,10.46,Fresh Tomato Salsa Mild, Roasted Chili Corn Salsa Medium, TomatilloRed Chili Salsa Hot, Black Beans, Rice, Sour Cream,,,,,10.46,39
22,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
23,1,Steak Burrito,10.46,Roasted Chili Corn Salsa Medium, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce,,,,,10.46,39
23,2,Canned Soda,2.66,Mountain Dew,,,,,,,,,,2.66,9
24,1,Chicken Burrito,10.1,Roasted Chili Corn Salsa Medium, Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce,,,10.1,18
24,1,Canned Soda,1.33,Sprite,,,,,,,,,,1.33,9
25,1,Steak Bowl,10.73,Fresh Tomato Salsa Mild, Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream,,,,,10.73,38
25,1,Chips and Fresh Tomato Salsa,3.29,None,,,,,,,,,,3.29,24
26,1,Barbacoa Soft Tacos,10.02,Fresh Tomato Salsa, Fajita Vegetables, Black Beans, Lettuce,,,,,,,10.02,5
26,1,Veggie Burrito,9.84,Tomatillo Red Chili Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce,,,9.84,45
27,1,Barbacoa Bowl,10.22,Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce,,,10.22,1
27,1,Chips,2.35,None,,,,,,,,,,2.35,23
28,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
28,1,Steak Soft Tacos,9.75,Fresh Tomato Salsa, Cheese,,,,,,,,,9.75,43
28,1,Veggie Bowl,10.21,Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce,,,10.21,44
28,1,Chicken Burrito,10.1,Fresh Tomato Salsa, Rice, Black Beans, Cheese,,,,,,,10.1,18
29,1,Steak Burrito,10.46,TomatilloRed Chili Salsa Hot, Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce,,,,10.46,39
29,1,Steak Soft Tacos,9.75,TomatilloRed Chili Salsa Hot, Rice, Cheese, Sour Cream, Lettuce,,,,,,9.75,43
30,1,Izze,3.39,Blackberry,,,,,,,,,,3.39,34
30,1,Steak Burrito,10.46,TomatilloRed Chili Salsa Hot, Rice, Cheese,,,,,,,,10.46,39
30,1,Chicken Burrito,10.1,TomatilloRed Chili Salsa Hot, Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce,,,,10.1,18
31,1,Steak Burrito,10.46,Roasted Chili Corn Salsa Medium, Rice, Black Beans, Sour Cream,,,,,,,10.46,39
31,1,Side of Chips,1.84,None,,,,,,,,,,1.84,37
32,1,Steak Burrito,10.46,TomatilloRed Chili Salsa Hot, Black Beans, Rice, Cheese, Sour Cream, Lettuce,,,,,10.46,39
32,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
33,1,Chicken Burrito,10.1,Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese, Sour Cream,,,,,,10.1,18
33,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
34,1,Chicken Soft Tacos,9.66,Tomatillo Red Chili Salsa, Rice, Cheese, Sour Cream, Lettuce,,,,,,9.66,22
34,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Rice, Black Beans, Pinto Beans, Cheese, Lettuce,,,,,10.13,17
34,1,Chips,2.35,None,,,,,,,,,,2.35,23
34,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream, Lettuce,,,,,10.13,17
35,1,Chicken Soft Tacos,9.66,Roasted Chili Corn Salsa, Rice, Cheese, Lettuce, Guacamole,,,,,,9.66,22
35,1,Chips,2.35,None,,,,,,,,,,2.35,23
36,1,Barbacoa Burrito,9.85,Fresh Tomato Salsa, Rice, Pinto Beans, Cheese, Sour Cream, Lettuce,,,,,9.85,2
36,1,Chicken Burrito,10.1,Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream, Lettuce,,,,,10.1,18
37,1,Chicken Burrito,10.1,Tomatillo Green Chili Salsa, Rice, Black Beans, Sour Cream, Cheese,,,,,,10.1,18
37,1,Steak Soft Tacos,9.75,Tomatillo Red Chili Salsa,,,,,,,,,,9.75,43
38,1,Veggie Bowl,10.21,TomatilloRed Chili Salsa Hot, Pinto Beans, Black Beans, Rice, Fajita Veggies, Lettuce,,,,,10.21,44
38,1,Steak Bowl,10.73,TomatilloRed Chili Salsa Hot, Pinto Beans, Rice, Fajita Veggies, Cheese, Lettuce,,,,,10.73,38
38,1,Bottled Water,1.84,None,,,,,,,,,,1.84,6
39,1,Carnitas Burrito,10.13,Fresh Tomato Salsa, Rice, Pinto Beans, Sour Cream, Cheese,,,,,,10.13,12
39,1,Chips and Fresh Tomato Salsa,3.29,None,,,,,,,,,,3.29,24
40,1,Steak Bowl,10.73,Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole,,,,,10.73,38
40,1,Steak Bowl,10.73,Fresh Tomato Salsa, Fajita Vegetables, Cheese, Sour Cream, Guacamole,,,,,,10.73,38
40,1,Steak Crispy Tacos,10.21,Fresh Tomato Salsa, Sour Cream,,,,,,,,,10.21,40
41,1,Carnitas Burrito,10.13,Roasted Chili Corn Salsa, Sour Cream, Guacamole,,,,,,,,10.13,12
41,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
42,1,Barbacoa Bowl,10.22,Fresh Tomato Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream,,,,,,10.22,1
42,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
43,1,Carnitas Bowl,10.83,Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce,,,,10.83,11
43,1,Chicken Burrito,10.1,Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese,,,,,,,10.1,18
44,1,Chicken Bowl,10.13,Tomatillo Red Chili Salsa, Rice, Fajita Vegetables, Sour Cream, Lettuce,,,,,,10.13,17
44,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
45,1,Steak Burrito,10.46,TomatilloGreen Chili Salsa Medium, Rice, Cheese, Sour Cream, Lettuce,,,,,,10.46,39
45,1,Steak Bowl,10.73,TomatilloGreen Chili Salsa Medium, Rice, Cheese, Sour Cream, Lettuce,,,,,,10.73,38
45,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
46,1,Veggie Burrito,9.84,Fresh Tomato Salsa Mild, Black Beans, Rice, Fajita Veggies, Sour Cream, Lettuce,,,,,9.84,45
46,1,Nantucket Nectar,3.64,Pineapple Orange Banana,,,,,,,,,,3.64,35
47,1,Steak Burrito,10.46,Roasted Chili Corn Salsa Medium, Rice, Black Beans, Fajita Veggies, Sour Cream,,,,,,10.46,39
47,1,Canned Soda,1.33,Dr Pepper,,,,,,,,,,1.33,9
48,1,Steak Burrito,10.46,Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce,,,,,10.46,39
48,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
49,1,Chicken Bowl,10.13,Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese, Sour Cream, Lettuce,,,,,10.13,17
49,1,Chips and Tomatillo Red Chili Salsa,3.08,None,,,,,,,,,,3.08,30
49,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
50,1,Chips and TomatilloGreen Chili Salsa,2.54,None,,,,,,,,,,2.54,31
50,1,Chicken Burrito,10.1,TomatilloGreen Chili Salsa Medium, Pinto Beans, Rice, Cheese, Sour Cream,,,,,,10.1,18
51,1,Barbacoa Bowl,10.22,TomatilloRed Chili Salsa Hot, TomatilloGreen Chili Salsa Medium, Rice, Pinto Beans, Fajita Veggies, Cheese, Sour Cream, Lettuce,,,10.22,1
51,1,Chicken Burrito,10.1,TomatilloRed Chili Salsa Hot, TomatilloGreen Chili Salsa Medium, Rice, Pinto Beans, Cheese, Lettuce,,,,,10.1,18
51,1,Canned Soda,1.33,Diet Dr Pepper,,,,,,,,,,1.33,9
52,1,Steak Soft Tacos,9.75,Roasted Chili Corn Salsa Medium, TomatilloRed Chili Salsa Hot, Cheese, Sour Cream, Lettuce,,,,,,9.75,43
52,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
53,1,Chicken Burrito,10.1,Tomatillo Red Chili Salsa, Rice, Black Beans, Sour Cream, Cheese, Lettuce,,,,,10.1,18
53,1,Barbacoa Burrito,9.85,Tomatillo Green Chili Salsa, Rice, Black Beans, Sour Cream, Cheese, Lettuce,,,,,9.85,2
53,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
54,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Guacamole, Cheese, Sour Cream, Fajita Vegetables, Rice,,,,,10.13,17
54,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
55,1,Steak Burrito,10.46,Roasted Chili Corn Salsa Medium, Rice, Black Beans, Fajita Veggies, Sour Cream,,,,,,10.46,39
55,1,Canned Soda,1.33,Coca Cola,,,,,,,,,,1.33,9
56,1,Barbacoa Bowl,10.22,Tomatillo Red Chili Salsa, Rice, Pinto Beans, Cheese, Lettuce,,,,,,10.22,1
56,1,Chips and Tomatillo Red Chili Salsa,3.08,None,,,,,,,,,,3.08,30
56,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
57,1,Barbacoa Burrito,9.85,Roasted Chili Corn Salsa, Rice, Pinto Beans, Cheese, Guacamole, Lettuce,,,,,9.85,2
57,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
58,1,Chicken Burrito,10.1,TomatilloGreen Chili Salsa Medium, Pinto Beans, Rice, Cheese, Sour Cream,,,,,,10.1,18
58,1,Chips and TomatilloGreen Chili Salsa,2.54,None,,,,,,,,,,2.54,31
59,1,Chicken Burrito,10.1,Roasted Chili Corn Salsa Medium, Rice, Black Beans, Sour Cream, Guacamole,,,,,,10.1,18
60,2,Chicken Salad Bowl,22.34,Tomatillo Green Chili Salsa, Sour Cream, Cheese, Guacamole,,,,,,,22.34,21
61,1,Barbacoa Bowl,10.22,Tomatillo Red Chili Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce,,,10.22,1
61,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
62,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Rice, Fajita Vegetables, Sour Cream, Cheese, Guacamole,,,,,10.13,17
62,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
63,1,Chicken Bowl,10.13,Tomatillo Green Chili Salsa, Rice, Sour Cream, Cheese, Guacamole,,,,,,10.13,17
63,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
64,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce,,,,10.13,17
64,1,Veggie Bowl,10.21,Tomatillo Red Chili Salsa, Fajita Vegetables, Black Beans, Cheese, Guacamole, Lettuce,,,,,10.21,44
65,1,Barbacoa Burrito,9.85,Tomatillo Red Chili Salsa, Rice, Sour Cream, Cheese, Guacamole,,,,,,9.85,2
65,1,Carnitas Bowl,10.83,Roasted Chili Corn Salsa, Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese,,,,,10.83,11
65,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
66,1,Steak Burrito,10.46,TomatilloGreen Chili Salsa Medium, Rice, Black Beans, Sour Cream, Guacamole,,,,,,10.46,39
67,2,Steak Burrito,20.92,TomatilloRed Chili Salsa Hot, Rice, Cheese, Sour Cream, Lettuce,,,,,,20.92,39
67,1,Side of Chips,1.84,None,,,,,,,,,,1.84,37
68,2,Chicken Burrito,20.2,Tomatillo Red Chili Salsa, Rice, Black Beans, Sour Cream, Cheese, Lettuce,,,,,20.2,18
68,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
69,1,Chicken Burrito,10.1,TomatilloGreen Chili Salsa Medium, Pinto Beans, Rice, Cheese, Sour Cream,,,,,,10.1,18
69,1,Chips and TomatilloGreen Chili Salsa,2.54,None,,,,,,,,,,2.54,31
70,2,Chicken Bowl,20.27,Fresh Tomato Salsa, Fajita Vegetables, Rice, Lettuce,,,,,,,20.27,17
70,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
71,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
71,1,Veggie Bowl,10.21,Tomatillo Red Chili Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce,,,,10.21,44
71,1,Steak Burrito,10.46,Tomatillo Green Chili Salsa, Rice, Cheese, Guacamole, Lettuce,,,,,,10.46,39
72,1,Chicken Burrito,10.1,Roasted Chili Corn Salsa Medium, TomatilloRed Chili Salsa Hot, Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce,,10.1,18
73,1,Chicken Bowl,10.13,Fresh Tomato Salsa Mild, Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce,,,,10.13,17
73,1,Chicken Burrito,10.1,Roasted Chili Corn Salsa Medium, TomatilloRed Chili Salsa Hot, Black Beans, Rice, Fajita Veggies, Cheese, Guacamole, Lettuce,,,10.1,18
73,2,Canned Soda,2.66,Diet Coke,,,,,,,,,,2.66,9
74,1,Carnitas Bowl,10.83,Roasted Chili Corn Salsa Medium, Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce,,,10.83,11
74,1,Veggie Bowl,10.21,Fresh Tomato Salsa Mild, Roasted Chili Corn Salsa Medium, Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce,,,10.21,44
74,1,Chips and TomatilloGreen Chili Salsa,2.54,None,,,,,,,,,,2.54,31
75,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
75,1,Chicken Burrito,10.1,Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese, Guacamole, Lettuce,,,,,10.1,18
75,1,Barbacoa Crispy Tacos,10.93,Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole,,,,,10.93,3
75,1,Chicken Burrito,10.1,Tomatillo Red Chili Salsa, Rice, Cheese, Sour Cream,,,,,,,10.1,18
76,1,Chicken Burrito,10.1,TomatilloRed Chili Salsa Hot, Fresh Tomato Salsa Mild, Rice, Black Beans, Cheese, Lettuce,,,,,10.1,18
76,2,Canned Soda,2.66,Diet Dr Pepper,,,,,,,,,,2.66,9
77,1,Chicken Burrito,10.1,TomatilloRed Chili Salsa Hot, Black Beans, Rice, Cheese, Sour Cream, Lettuce,,,,,10.1,18
77,1,Nantucket Nectar,3.64,Apple,,,,,,,,,,3.64,35
78,1,Chicken Burrito,10.1,TomatilloGreen Chili Salsa Medium, Lettuce,,,,,,,,,10.1,18
78,1,Steak Soft Tacos,9.75,Roasted Chili Corn Salsa Medium, Lettuce,,,,,,,,,9.75,43
79,1,Chicken Bowl,10.13,Roasted Chili Corn Salsa Medium, Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce,,,10.13,17
80,1,Steak Burrito,10.46,Fresh Tomato Salsa Mild, Rice, Black Beans, Sour Cream, Guacamole,,,,,,10.46,39
81,1,Chicken Burrito,10.1,TomatilloGreen Chili Salsa Medium, Rice, Fajita Veggies, Cheese, Sour Cream,,,,,,10.1,18
81,1,Canned Soda,1.33,Coca Cola,,,,,,,,,,1.33,9
81,1,Canned Soda,1.33,Dr Pepper,,,,,,,,,,1.33,9
82,1,Barbacoa Soft Tacos,10.02,Tomatillo Red Chili Salsa, Rice, Pinto Beans, Cheese, Sour Cream,,,,,,10.02,5
82,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Rice, Black Beans, Sour Cream,,,,,,,10.13,17
82,1,Chips and Fresh Tomato Salsa,3.29,None,,,,,,,,,,3.29,24
83,1,Steak Soft Tacos,9.75,Fresh Tomato Salsa, Cheese, Sour Cream,,,,,,,,9.75,43
83,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
83,1,Veggie Salad Bowl,10.14,Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce,,,10.14,48
84,1,Steak Bowl,10.73,Fresh Tomato Salsa Mild, Rice, Fajita Veggies, Guacamole, Lettuce,,,,,,10.73,38
84,1,Chicken Burrito,10.1,Roasted Chili Corn Salsa Medium, Rice, Cheese, Sour Cream, Lettuce,,,,,,10.1,18
84,1,Chicken Burrito,10.1,Roasted Chili Corn Salsa Medium, Rice, Cheese, Lettuce,,,,,,,10.1,18
85,1,Steak Burrito,10.46,Roasted Chili Corn Salsa Medium, Fajita Veggies, Cheese, Lettuce, Sour Cream, Rice,,,,,10.46,39
85,1,Chips and Roasted ChiliCorn Salsa,2.39,None,,,,,,,,,,2.39,28
86,1,Veggie Bowl,10.21,Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce,,,,10.21,44
86,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Rice, Cheese, Sour Cream,,,,,,,10.13,17
86,1,Chips and Fresh Tomato Salsa,3.29,None,,,,,,,,,,3.29,24
87,1,Canned Soda,1.33,Coca Cola,,,,,,,,,,1.33,9
87,1,Steak Burrito,10.46,Roasted Chili Corn Salsa Medium, Rice, Black Beans, Sour Cream,,,,,,,10.46,39
88,1,Chicken Burrito,10.1,TomatilloGreen Chili Salsa Medium, Pinto Beans, Rice, Cheese, Sour Cream,,,,,,10.1,18
88,1,Chips and TomatilloGreen Chili Salsa,2.54,None,,,,,,,,,,2.54,31
89,1,Chicken Bowl,10.13,Roasted Chili Corn Salsa Medium, TomatilloRed Chili Salsa Hot, Black Beans, Rice, Fajita Veggies, Guacamole, Lettuce,,,,10.13,17
89,1,Canned Soda,1.33,Diet Coke,,,,,,,,,,1.33,9
89,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
90,1,Chicken Burrito,10.1,Tomatillo Red Chili Salsa, Rice, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole,,,,10.1,18
90,1,Chicken Burrito,10.1,Tomatillo Green Chili Salsa, Rice, Pinto Beans, Sour Cream, Cheese, Lettuce,,,,,10.1,18
91,1,Chicken Burrito,10.1,TomatilloRed Chili Salsa Hot, Black Beans, Rice, Cheese, Sour Cream, Lettuce,,,,,10.1,18
91,1,Nantucket Nectar,3.64,Peach Orange,,,,,,,,,,3.64,35
92,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Rice, Cheese, Lettuce,,,,,,,10.13,17
92,1,Steak Bowl,10.73,Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Sour Cream, Lettuce,,,,,10.73,38
92,1,Chips,2.35,None,,,,,,,,,,2.35,23
93,1,Chicken Bowl,10.13,Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce,,,10.13,17
93,1,Veggie Bowl,10.21,Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce,,,,10.21,44
93,1,Chicken Bowl,10.13,Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce,,10.13,17
93,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
94,2,Chicken Salad Bowl,22.34,Fresh Tomato Salsa, Fajita Vegetables, Pinto Beans, Guacamole,,,,,,,22.34,21
95,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
95,1,Steak Bowl,10.73,Tomatillo Green Chili Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce,,,,10.73,38
96,1,Chicken Burrito,10.1,Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese, Sour Cream,,,,,,10.1,18
96,2,Chicken Crispy Tacos,20.09,Tomatillo Red Chili Salsa, Cheese, Sour Cream, Lettuce,,,,,,,20.09,19
96,1,Chicken Bowl,10.13,Tomatillo Green Chili Salsa, Rice, Black Beans, Cheese, Sour Cream,,,,,,10.13,17
97,1,Barbacoa Bowl,10.22,Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese,,,,,,,10.22,1
97,1,Chicken Bowl,10.13,Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Sour Cream,,,,,,10.13,17
97,1,Chips,2.35,None,,,,,,,,,,2.35,23
98,1,Barbacoa Burrito,9.85,Tomatillo Red Chili Salsa, Rice, Cheese, Lettuce,,,,,,,9.85,2
98,2,Chips,4.7,None,,,,,,,,,,4.7,23
98,1,Chicken Bowl,10.13,Tomatillo Green Chili Salsa, Rice, Pinto Beans, Sour Cream, Lettuce,,,,,,10.13,17
99,1,Veggie Burrito,9.84,Tomatillo Red Chili Salsa, Black Beans, Cheese, Guacamole,,,,,,,9.84,45
99,1,Chips,2.35,None,,,,,,,,,,2.35,23
100,1,Steak Burrito,10.46,Roasted Chili Corn Salsa Medium, Rice, Black Beans, Sour Cream,,,,,,,10.46,39
100,1,Canned Soda,1.33,Mountain Dew,,,,,,,,,,1.33,9
101,1,Steak Burrito,10.46,TomatilloGreen Chili Salsa Medium, Black Beans, Rice, Cheese, Sour Cream, Lettuce,,,,,10.46,39
101,1,Chips and Guacamole,4.6,None,,,,,,,,,,4.6,25
102,1,Chicken Bowl,10.13,Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce,,,,10.13,17
102,1,Chips and Tomatillo Green Chili Salsa,3.09,None,,,,,,,,,,3.09,29
